code,activity
10101,Sleeping
10102,Sleeplessness
10201,"Washing, dressing and grooming oneself"
10301,Health-related self care
10401,Personal/Private activities
10501,Personal emergencies
20101,Interior cleaning
20102,Laundry
20103,"Sewing, repairing, & maintaining textiles"
20104,"Storing interior hh items, inc. food"
20201,Food and drink preparation
20202,Food presentation
20203,Kitchen and food clean-up
20301,"Interior arrangement, decoration, & repairs"
20302,Building and repairing furniture
20303,Heating and cooling
20401,Exterior cleaning
20402,"Exterior repair, improvements, & decoration"
20501,"Lawn, garden, and houseplant care"
20502,"Ponds, pools, and hot tubs"
20601,Care for animals and pets (not veterinary care)
20602,Walking / exercising / playing with animals
20701,Vehicle repair and maintenance (by self)
20801,"Appliance, tool, and toy set-up, repair, & maintenance (by self)"
20901,Financial management
20902,Household & personal organization and planning
20903,HH & personal mail & messages (except e-mail)
20904,HH & personal e-mail and messages
20905,Home security
30101,Physical care for hh children
30102,Reading to/with hh children
30103,"Playing with hh children, not sports"
30104,Arts and crafts with hh children
30105,Playing sports with hh children
30106,Talking with/listening to hh children
30108,Organization & planning for hh children
30109,Looking after hh children (as a primary activity)
30110,Attending hh children's events
30111,Waiting for/with hh children
30112,Picking up/dropping off hh children
30201,Homework (hh children)
30202,Meetings and school conferences (hh children)
30203,Home schooling of hh children
30204,Waiting associated with hh children's education
30301,Providing medical care to hh children
30302,Obtaining medical care for hh children
30303,Waiting associated with hh children's health
30401,Physical care for hh adults
30402,Looking after hh adult (as a primary activity)
30403,Providing medical care to hh adult
30404,Obtaining medical and care services for hh adult
30405,Waiting associated with caring for household adults
30501,Helping hh adults
30502,Organization & planning for hh adults
30503,Picking up/dropping off hh adult
30504,Waiting associated with helping hh adults
40101,Physical care for nonhh children
40102,Reading to/with nonhh children
40103,"Playing with nonhh children, not sports"
40104,Arts and crafts with nonhh children
40105,Playing sports with nonhh children
40106,Talking with/listening to nonhh children
40108,Organization & planning for nonhh children
40109,Looking after nonhh children (as primary activity)
40110,Attending nonhh children's events
40111,Waiting for/with nonhh children
40112,Dropping off/picking up nonhh children
40201,Homework (nonhh children)
40202,Meetings and school conferences (nonhh children)
40203,Home schooling of nonhh children
40204,Waiting associated with nonhh children's education
40301,Providing medical care to nonhh children
40302,Obtaining medical care for nonhh children
40303,Waiting associated with nonhh children's health
40401,Physical care for nonhh adults
40402,Looking after nonhh adult (as a primary activity)
40403,Providing medical care to nonhh adult
40404,Obtaining medical and care services for nonhh adult
40405,Waiting associated with caring for nonhh adults
40501,"Housework, cooking, & shopping assistance for nonhh adults"
40502,House & lawn maintenance & repair assistance for nonhh adults
40503,Animal & pet care assistance for nonhh adults
40504,Vehicle & appliance maintenance/repair assistance for nonhh adults
40505,Financial management assistance for nonhh adults
40506,Household management & paperwork assistance for nonhh adults
40507,Picking up/dropping off nonhh adult
40508,Waiting associated with helping nonhh adults
50101,"Work, main job"
50102,"Work, other job(s)"
50103,Security procedures related to work
50104,Waiting associated with working
50201,"Socializing, relaxing, and leisure as part of job"
50202,Eating and drinking as part of job
50203,Sports and exercise as part of job
50204,Security procedures as part of job
50205,Waiting associated with work-related activities
50301,"Income-generating hobbies, crafts, and food"
50302,Income-generating performances
50303,Income-generating services
50304,Income-generating rental property activities
50305,Waiting associated with other income-generating activities
50401,Job search activities
50403,Job interviewing
50404,Waiting associated with job search or interview
50405,Security procedures rel. to job search/interviewing
60101,"Taking class for degree, certification, or licensure"
60102,Taking class for personal interest
60103,Waiting associated with taking classes
60104,Security procedures rel. to taking classes
60201,Extracurricular club activities
60202,Extracurricular music & performance activities
60203,Extracurricular student government activities
60204,Waiting associated with extracurricular activities
60301,"Research/homework for class for degree, certification, or licensure"
60302,Research/homework for class for pers. interest
60303,Waiting associated with research/homework
60401,"Administrative activities: class for degree, certification, or licensure"
60402,Administrative activities: class for personal interest
60403,Waiting associated w/admin. activities (education)
70101,Grocery shopping
70102,Purchasing gas
70103,Purchasing food (not groceries)
70104,"Shopping, except groceries, food and gas"
70105,Waiting associated with shopping
70201,Comparison shopping
70301,Security procedures rel. to consumer purchases
80101,Using paid childcare services
80102,Waiting associated w/purchasing childcare svcs
80201,Banking
80202,Using other financial services
80203,Waiting associated w/banking/financial services
80301,Using legal services
80302,Waiting associated with legal services
80401,Using health and care services outside the home
80402,Using in-home health and care services
80403,Waiting associated with medical services
80501,Using personal care services
80502,Waiting associated w/personal care services
80601,Activities rel. to purchasing/selling real estate
80602,Waiting associated w/purchasing/selling real estate
80701,Using veterinary services
80702,Waiting associated with veterinary services
80801,Security procedures rel. to professional/personal svcs.
90101,Using interior cleaning services
90102,Using meal preparation services
90103,Using clothing repair and cleaning services
90104,Waiting associated with using household services
90201,Using home maint/repair/d_cor/construction svcs
90202,Waiting associated w/ home main/repair/d_cor/constr
90301,Using pet services
90302,Waiting associated with pet services
90401,Using lawn and garden services
90402,Waiting associated with using lawn & garden services
90501,Using vehicle maintenance or repair services
