TUCASEID,TEAGE_EC,TEELDUR,TEELWHO,TEELYRS,TRELHH,TUECLNO,TULINENO,TXAGE_EC,TXELDUR,TXELWHO,TXELYRS
20130101130123,80,4,33,16,0,3,-1,0,0,0,0
20130101130123,63,4,42,6,0,4,-1,0,0,0,0
20130101130611,85,2,33,-1,0,3,-1,0,0,0,-1
20130101130734,54,1,38,-1,0,2,-1,0,0,0,-1
20130101130735,85,3,47,-1,0,3,-1,60,0,0,-1
20130101130970,69,1,24,-1,1,3,3,0,0,0,-1
20130101131007,74,3,33,-1,0,4,-1,0,0,0,-1
20130101131007,75,1,34,-1,0,5,-1,0,0,0,-1
20130101131056,80,4,41,6,0,2,-1,60,0,0,0
20130101131066,85,2,33,-1,0,2,-1,60,0,0,-1
20130101131145,80,4,47,15,0,3,-1,60,0,0,0
20130101131230,85,4,26,8,1,3,3,0,0,0,0
20130101131231,85,1,43,-1,0,2,-1,60,0,0,-1
20130101131289,77,4,33,5,0,4,-1,0,0,0,0
20130101131289,80,4,34,5,0,5,-1,60,0,0,0
20130101131340,85,4,39,32,0,4,-1,60,0,0,0
20130101131491,85,4,44,2,0,2,-1,0,0,0,0
20130101131541,80,4,33,1,0,3,-1,60,0,0,0
20130101131553,67,4,43,2,0,3,-1,0,0,0,0
20130101131553,85,4,49,6,0,4,-1,60,0,0,0
20130101131563,85,4,24,16,1,2,2,0,0,0,0
20130101131580,68,4,43,3,0,2,-1,0,0,0,0
20130101131581,80,1,44,-1,0,2,-1,60,0,0,-1
20130101131581,85,1,44,-1,0,3,-1,60,0,0,-1
20130101131700,85,3,41,-1,0,3,-1,60,0,0,-1
20130101131700,85,3,41,-1,0,4,-1,60,0,0,-1
20130101131718,70,1,44,-1,0,10,-1,0,0,0,-1
20130101131718,70,1,56,-1,0,11,-1,0,0,0,-1
20130101131718,85,1,56,-1,0,12,-1,0,0,0,-1
20130101131808,85,4,33,3,0,3,-1,60,0,0,0
20130101131901,85,4,44,6,0,2,-1,60,0,0,0
20130101132022,63,4,33,6,0,3,-1,0,0,0,0
20130101132036,58,4,33,3,0,4,-1,0,0,0,0
20130101132036,67,4,34,3,0,5,-1,0,0,0,0
20130101132285,63,4,33,3,0,2,-1,0,0,0,0
20130101132285,80,4,47,2,0,3,-1,60,0,0,0
20130101132285,80,4,47,2,0,4,-1,60,0,0,0
20130101132487,85,4,33,3,0,2,-1,60,0,0,0
20130101132497,85,4,34,3,0,4,-1,0,0,0,0
20130111120010,67,1,47,-1,0,4,-1,0,0,0,-1
20130111120575,70,1,44,-1,0,8,-1,0,0,0,-1
20130111120575,70,1,44,-1,0,9,-1,0,0,0,-1
20130111120575,66,4,48,3,0,10,-1,0,0,0,0
20130111120609,74,4,41,7,0,5,-1,0,0,0,0
20130111120609,74,4,42,7,0,6,-1,0,0,0,0
20130111120669,77,1,44,-1,0,3,-1,0,0,0,-1
20130111120738,72,4,39,5,0,6,-1,0,0,0,0
20130111120829,74,4,33,3,0,3,-1,0,0,0,0
20130111120832,75,1,24,-1,1,4,4,0,0,0,-1
20130111121007,56,4,24,4,1,2,2,0,0,0,0
20130111121028,74,4,33,5,0,4,-1,0,0,0,0
20130111121028,76,4,34,5,0,5,-1,0,0,0,0
20130111121353,69,1,40,-1,0,5,-1,0,0,0,-1
20130111121428,80,4,34,2,0,3,-1,60,0,0,0
20130111121444,78,1,20,-1,1,2,2,0,0,0,-1
20130111121660,80,1,34,-1,0,6,-1,60,0,0,-1
